Group,Antes_Depois,Escore
EXP,1,37
EXP,1,35
EXP,1,21
EXP,1,22
EXP,1,15
EXP,1,13
EXP,1,36
EXP,1,54
EXP,1,23
EXP,1,28
EXP,1,0
EXP,1,41
EXP,1,80
EXP,1,39
EXP,1,23
EXP,1,25
EXP,1,31
EXP,1,54
EXP,1,38
EXP,1,17
EXP,1,42
EXP,1,30
EXP,1,36
EXP,1,39
EXP,1,30
EXP,1,38
EXP,1,29
EXP,1,21
EXP,1,19
EXP,1,39
EXP,1,25
EXP,1,34
EXP,1,31
EXP,1,29
EXP,1,25
EXP,1,24
EXP,1,29
EXP,1,18
EXP,1,20
EXP,1,32
EXP,1,32
EXP,1,36
EXP,1,46
EXP,1,31
EXP,1,20
EXP,1,32
EXP,1,42
EXP,1,37
EXP,1,22
EXP,1,31
EXP,2,56
EXP,2,39
EXP,2,50
EXP,2,45
EXP,2,38
EXP,2,65
EXP,2,50
EXP,2,48
EXP,2,39
EXP,2,37
EXP,2,41
EXP,2,54
EXP,2,32
EXP,2,66
EXP,2,55
EXP,2,43
EXP,2,26
EXP,2,42
EXP,2,54
EXP,2,30
EXP,2,48
EXP,2,29
EXP,2,27
EXP,2,41
EXP,2,48
EXP,2,45
EXP,2,25
EXP,2,38
EXP,2,40
EXP,2,42
EXP,2,51
EXP,2,37
EXP,2,41
EXP,2,57
EXP,2,57
EXP,2,50
EXP,2,34
EXP,2,56
EXP,2,48
EXP,2,35
EXP,2,67
EXP,2,64
EXP,2,56
EXP,2,45
EXP,2,59
EXP,2,51
EXP,2,54
EXP,2,16
EXP,2,48
EXP,2,56
EXP,2,40
EXP,2,37
EXP,2,43
EXP,2,39
EXP,2,49
EXP,2,61
EXP,2,43
EXP,2,26
EXP,2,50
EXP,2,25
EXP,2,45
EXP,2,51
EXP,2,48
EXP,2,64
EXP,2,51
EXP,2,46
EXP,2,53
EXP,2,51
EXP,2,43
EXP,2,42
EXP,2,49
EXP,2,62
EXP,2,64
EXP,2,47
EXP,2,40
EXP,2,46
EXP,2,49
EXP,2,48
EXP,2,52
EXP,2,38
EXP,2,49
EXP,2,37
EXP,2,52
EXP,2,31
EXP,2,54
EXP,2,66
EXP,2,57
EXP,2,55
EXP,2,50
EXP,2,52
EXP,2,65
EXP,2,51
EXP,2,46
EXP,2,20
EXP,2,38
EXP,2,60
EXP,2,50
EXP,2,40
EXP,2,45
EXP,2,58
EXP,2,67
EXP,2,18
EXP,2,48
EXP,2,58
